year,gini,hhi,shannon,n_countries
2015.0,-0.9386124214157061,508.05081898817787,4.141710248276669,1736
2016.0,-0.9336108003843517,389.8900630915401,4.39683926389221,2298
2017.0,-0.926265085864914,470.5517142372258,4.416611764482138,2674
2018.0,-0.9180027921683116,441.9264053497999,4.512584023108801,3241
2019.0,-0.9117984775356488,472.46008289866904,4.5813595220940275,3720
2020.0,-0.9017734765100761,541.6158058665146,4.730648014608061,4549
2021.0,-0.9203082085751264,702.0054359231377,4.343703557696308,3247
2022.0,-0.9349013148757215,1203.631823692123,3.658899983007191,1676
2023.0,-0.9424184749085316,1655.5482128150525,3.2963367256096827,1093
2024.0,-0.9472295342680005,1634.672704897282,3.259898230148404,1032
2025.0,-0.9418438111844439,2158.5108152510975,3.0717604181415563,886
